"[79, 6, 80]","[81, -11, 77]","[82, -1, 82]","[82, -1, 82]","[81, -11, 77]","[79, 6, 80]",2,none,close
"[48, 59, 44]","[46, 63, 25]","[48, 69, 30]","[48, 69, 30]","[48, 59, 44]","[46, 63, 25]",1,none,close
"[32, 79, -107]","[46, 75, -62]","[40, 30, -66]","[46, 75, -62]","[40, 30, -66]","[32, 79, -107]",2,none,close
"[46, 51, 19]","[48, 70, 0]","[51, 45, 42]","[46, 51, 19]","[48, 70, 0]","[51, 45, 42]",0,none,close
"[72, -64, 61]","[74, -52, 16]","[88, -40, 85]","[88, -40, 85]","[72, -64, 61]","[74, -52, 16]",1,none,close
"[80, -56, 13]","[83, -44, -11]","[79, -66, 73]","[79, -66, 73]","[80, -56, 13]","[83, -44, -11]",1,none,close
"[53, 90, -66]","[54, 85, -21]","[43, 79, -78]","[54, 85, -21]","[53, 90, -66]","[43, 79, -78]",1,none,close
"[72, -64, 62]","[85, -68, 80]","[83, -82, 79]","[72, -64, 62]","[83, -82, 79]","[85, -68, 80]",0,none,close
"[73, -55, 25]","[82, -80, 74]","[75, -42, -3]","[75, -42, -3]","[82, -80, 74]","[73, -55, 25]",2,none,close
"[33, 52, -77]","[38, 56, -66]","[43, 32, -73]","[33, 52, -77]","[43, 32, -73]","[38, 56, -66]",0,none,close
"[49, 71, -6]","[46, 56, 11]","[47, 64, 22]","[47, 64, 22]","[49, 71, -6]","[46, 56, 11]",1,none,close
"[49, 74, 10]","[53, 83, -13]","[48, 71, 31]","[48, 71, 31]","[49, 74, 10]","[53, 83, -13]",1,none,close
"[80, -12, 75]","[75, -52, 65]","[89, -34, 86]","[75, -52, 65]","[89, -34, 86]","[80, -12, 75]",2,none,close
"[41, 29, -67]","[36, 80, -99]","[40, 65, -68]","[36, 80, -99]","[41, 29, -67]","[40, 65, -68]",1,none,close
"[88, -61, 11]","[73, -45, 3]","[77, -55, 15]","[73, -45, 3]","[77, -55, 15]","[88, -61, 11]",2,none,close
"[86, -31, 82]","[81, -79, 74]","[93, -45, 89]","[86, -31, 82]","[81, -79, 74]","[93, -45, 89]",0,none,close
"[39, 55, -63]","[32, 54, -81]","[36, 70, -85]","[36, 70, -85]","[39, 55, -63]","[32, 54, -81]",1,none,close
"[84, -78, 60]","[83, -57, 9]","[78, -74, 72]","[78, -74, 72]","[83, -57, 9]","[84, -78, 60]",2,none,close
"[87, -59, 9]","[79, -67, 40]","[82, -39, -20]","[82, -39, -20]","[87, -59, 9]","[79, -67, 40]",1,none,close
"[58, 92, -42]","[52, 81, -14]","[49, 64, -34]","[52, 81, -14]","[49, 64, -34]","[58, 92, -42]",2,none,close
"[33, 65, -86]","[37, 60, -96]","[45, 79, -71]","[33, 65, -86]","[45, 79, -71]","[37, 60, -96]",0,none,close
"[47, 71, -54]","[48, 86, -74]","[42, 68, -67]","[47, 71, -54]","[42, 68, -67]","[48, 86, -74]",0,none,close
"[34, 41, -67]","[39, 81, -94]","[44, 60, -54]","[34, 41, -67]","[39, 81, -94]","[44, 60, -54]",0,none,close
"[72, -45, 59]","[84, -68, 31]","[78, -70, 71]","[72, -45, 59]","[78, -70, 71]","[84, -68, 31]",0,none,close
"[75, -36, 64]","[72, -66, 57]","[88, -66, 84]","[88, -66, 84]","[75, -36, 64]","[72, -66, 57]",1,none,close
"[59, 95, -59]","[44, 76, -70]","[43, 58, -54]","[44, 76, -70]","[43, 58, -54]","[59, 95, -59]",2,none,close
"[43, 27, -68]","[35, 41, -71]","[32, 66, -89]","[43, 27, -68]","[35, 41, -71]","[32, 66, -89]",0,none,close
"[42, 72, -70]","[37, 42, -77]","[44, 60, -52]","[42, 72, -70]","[37, 42, -77]","[44, 60, -52]",0,none,close
"[46, 52, 15]","[48, 67, -7]","[48, 70, 31]","[48, 67, -7]","[46, 52, 15]","[48, 70, 31]",1,none,close
"[69, -51, 24]","[71, -51, 56]","[80, -75, 74]","[69, -51, 24]","[71, -51, 56]","[80, -75, 74]",0,none,close
"[79, -41, -12]","[74, -26, -31]","[86, -63, 16]","[79, -41, -12]","[74, -26, -31]","[86, -63, 16]",0,none,close
"[70, -45, 11]","[80, -47, -3]","[90, -56, 0]","[70, -45, 11]","[90, -56, 0]","[80, -47, -3]",0,none,close
"[81, -46, -6]","[70, -32, -13]","[67, -27, -17]","[81, -46, -6]","[70, -32, -13]","[67, -27, -17]",0,none,close
"[53, 83, -36]","[42, 77, -76]","[54, 84, -3]","[53, 83, -36]","[42, 77, -76]","[54, 84, -3]",0,none,close
"[72, -60, 38]","[78, -62, 71]","[85, -72, 42]","[78, -62, 71]","[85, -72, 42]","[72, -60, 38]",2,none,close
"[62, 52, 71]","[50, 72, 57]","[50, 58, 50]","[62, 52, 71]","[50, 72, 57]","[50, 58, 50]",0,none,close
"[48, 66, 1]","[49, 69, -27]","[47, 67, 42]","[47, 67, 42]","[48, 66, 1]","[49, 69, -27]",1,none,close
"[49, 72, -21]","[56, 89, -36]","[41, 55, -58]","[49, 72, -21]","[41, 55, -58]","[56, 89, -36]",0,none,close
"[52, 56, 54]","[47, 52, 35]","[49, 72, 53]","[47, 52, 35]","[52, 56, 54]","[49, 72, 53]",1,none,close
"[95, -30, 92]","[83, -31, 78]","[76, -32, 66]","[76, -32, 66]","[83, -31, 78]","[95, -30, 92]",2,none,close
"[85, -58, 10]","[72, -61, 42]","[72, -66, 60]","[72, -66, 60]","[72, -61, 42]","[85, -58, 10]",2,none,close
"[41, 23, -56]","[36, 50, -85]","[32, 65, -90]","[32, 65, -90]","[41, 23, -56]","[36, 50, -85]",1,none,close
"[38, 67, -76]","[33, 58, -82]","[44, 28, -71]","[44, 28, -71]","[38, 67, -76]","[33, 58, -82]",1,none,close
"[42, 22, -57]","[51, 1, -41]","[43, 55, -52]","[43, 55, -52]","[42, 22, -57]","[51, 1, -41]",1,none,close
"[88, -22, 84]","[90, -13, 89]","[75, -3, 70]","[90, -13, 89]","[75, -3, 70]","[88, -22, 84]",2,none,close
"[73, -67, 55]","[90, -51, 86]","[91, -49, 87]","[73, -67, 55]","[91, -49, 87]","[90, -51, 86]",0,none,close
"[51, 82, -55]","[54, 86, -43]","[38, 52, -63]","[38, 52, -63]","[54, 86, -43]","[51, 82, -55]",2,none,close
"[43, 27, -68]","[40, 79, -85]","[33, 67, -98]","[43, 27, -68]","[40, 79, -85]","[33, 67, -98]",0,none,close
"[53, 91, -68]","[43, 77, -74]","[38, 73, -84]","[43, 77, -74]","[53, 91, -68]","[38, 73, -84]",1,none,close
"[78, -67, 72]","[76, -33, 66]","[84, -81, 71]","[76, -33, 66]","[78, -67, 72]","[84, -81, 71]",1,none,close
"[51, 60, 52]","[49, 46, 36]","[46, 59, 27]","[46, 59, 27]","[49, 46, 36]","[51, 60, 52]",2,none,close
"[35, 49, -82]","[31, 67, -93]","[40, 72, -76]","[40, 72, -76]","[35, 49, -82]","[31, 67, -93]",1,none,close
"[55, 71, 67]","[47, 68, 42]","[50, 76, 24]","[47, 68, 42]","[55, 71, 67]","[50, 76, 24]",1,none,close
"[46, 67, -54]","[35, 47, -68]","[49, 72, -11]","[49, 72, -11]","[46, 67, -54]","[35, 47, -68]",1,none,close
"[53, 83, -18]","[47, 66, 8]","[54, 85, -53]","[54, 85, -53]","[47, 66, 8]","[53, 83, -18]",2,none,close
"[40, 54, -59]","[35, 80, -102]","[46, 31, -76]","[46, 31, -76]","[35, 80, -102]","[40, 54, -59]",2,none,close
"[45, 37, -82]","[40, 76, -82]","[46, 19, -61]","[45, 37, -82]","[46, 19, -61]","[40, 76, -82]",0,none,close
"[74, -30, 62]","[72, -64, 51]","[84, -44, 79]","[72, -64, 51]","[84, -44, 79]","[74, -30, 62]",2,none,close
"[82, -28, 76]","[85, -44, 80]","[69, -57, 53]","[85, -44, 80]","[82, -28, 76]","[69, -57, 53]",1,none,close
"[46, 53, 14]","[50, 74, 60]","[54, 83, 0]","[46, 53, 14]","[50, 74, 60]","[54, 83, 0]",0,none,close
"[75, -26, -33]","[64, -20, -28]","[81, -46, -6]","[64, -20, -28]","[81, -46, -6]","[75, -26, -33]",2,none,close
"[32, 54, -83]","[44, 76, -68]","[32, 78, -107]","[44, 76, -68]","[32, 78, -107]","[32, 54, -83]",2,none,close
"[73, -38, -7]","[76, -32, -23]","[90, -57, 2]","[90, -57, 2]","[76, -32, -23]","[73, -38, -7]",2,none,close
"[70, -31, -13]","[73, -29, -26]","[73, -45, 3]","[73, -45, 3]","[70, -31, -13]","[73, -29, -26]",1,none,close
"[50, 74, -31]","[45, 76, -66]","[46, 60, 15]","[50, 74, -31]","[46, 60, 15]","[45, 76, -66]",0,none,close
"[50, 71, -35]","[47, 59, -13]","[39, 72, -78]","[39, 72, -78]","[47, 59, -13]","[50, 71, -35]",2,none,close
"[51, 75, -48]","[54, 84, -8]","[49, 70, -26]","[54, 84, -8]","[51, 75, -48]","[49, 70, -26]",1,none,close
"[69, -56, 37]","[79, -68, 72]","[72, -40, -2]","[79, -68, 72]","[69, -56, 37]","[72, -40, -2]",1,none,close
"[46, 66, -52]","[35, 41, -71]","[38, 79, -93]","[38, 79, -93]","[35, 41, -71]","[46, 66, -52]",2,none,close
"[48, 25, -73]","[46, 11, -48]","[52, 17, -67]","[46, 11, -48]","[52, 17, -67]","[48, 25, -73]",2,none,close
"[85, -77, 54]","[88, -68, 26]","[76, -68, 67]","[76, -68, 67]","[85, -77, 54]","[88, -68, 26]",1,none,close
"[41, 79, -84]","[36, 40, -72]","[40, 27, -60]","[40, 27, -60]","[36, 40, -72]","[41, 79, -84]",2,none,close
"[81, -60, 76]","[84, -71, 39]","[76, -61, 31]","[84, -71, 39]","[76, -61, 31]","[81, -60, 76]",2,none,close
"[85, -82, 72]","[75, -34, 63]","[90, -59, 86]","[90, -59, 86]","[75, -34, 63]","[85, -82, 72]",2,none,close
"[48, 78, -60]","[43, 76, -72]","[50, 66, -40]","[50, 66, -40]","[43, 76, -72]","[48, 78, -60]",2,none,close
"[50, 14, -60]","[58, 5, -59]","[62, -17, -29]","[58, 5, -59]","[50, 14, -60]","[62, -17, -29]",1,none,close
"[91, -25, 88]","[72, -10, 59]","[76, 6, 75]","[76, 6, 75]","[72, -10, 59]","[91, -25, 88]",2,none,close
"[32, 74, -103]","[38, 58, -96]","[42, 38, -80]","[42, 38, -80]","[32, 74, -103]","[38, 58, -96]",1,none,close
"[83, -65, 27]","[75, -42, 64]","[84, -77, 79]","[75, -42, 64]","[84, -77, 79]","[83, -65, 27]",2,none,close
"[52, 80, -24]","[41, 65, -66]","[49, 74, -5]","[49, 74, -5]","[41, 65, -66]","[52, 80, -24]",2,none,close
"[78, -27, 69]","[80, -78, 70]","[73, -63, 62]","[78, -27, 69]","[80, -78, 70]","[73, -63, 62]",0,none,close
"[74, -22, 59]","[81, -77, 76]","[77, -74, 68]","[74, -22, 59]","[77, -74, 68]","[81, -77, 76]",0,none,close
"[50, 74, 60]","[47, 67, 45]","[52, 78, 49]","[47, 67, 45]","[50, 74, 60]","[52, 78, 49]",1,none,close
"[66, -25, -22]","[79, -30, -30]","[77, -46, -1]","[79, -30, -30]","[66, -25, -22]","[77, -46, -1]",1,none,close
"[86, 0, 86]","[73, 7, 72]","[81, 7, 83]","[81, 7, 83]","[73, 7, 72]","[86, 0, 86]",2,none,close
"[76, -58, 24]","[87, -74, 43]","[70, -57, 37]","[87, -74, 43]","[76, -58, 24]","[70, -57, 37]",1,none,close
"[89, -50, 85]","[77, -25, 66]","[85, -17, 80]","[89, -50, 85]","[77, -25, 66]","[85, -17, 80]",0,none,close
"[43, 83, -87]","[45, 62, -52]","[33, 77, -102]","[45, 62, -52]","[33, 77, -102]","[43, 83, -87]",2,none,close
"[74, 16, 76]","[86, -2, 86]","[58, 23, 46]","[58, 23, 46]","[74, 16, 76]","[86, -2, 86]",1,none,close
"[79, -36, 72]","[88, -74, 38]","[81, -57, 76]","[81, -57, 76]","[88, -74, 38]","[79, -36, 72]",2,none,close
"[70, -26, -25]","[61, 3, -59]","[55, -2, -44]","[70, -26, -25]","[61, 3, -59]","[55, -2, -44]",0,none,close
"[53, 3, -50]","[45, 28, -72]","[49, 7, -47]","[49, 7, -47]","[53, 3, -50]","[45, 28, -72]",1,none,close
"[77, -19, 66]","[76, -66, 68]","[67, 8, 60]","[77, -19, 66]","[67, 8, 60]","[76, -66, 68]",0,none,close
"[47, 60, -14]","[56, 88, -29]","[47, 85, -75]","[56, 88, -29]","[47, 60, -14]","[47, 85, -75]",1,none,close
"[65, 17, 61]","[59, 25, 52]","[60, 36, 61]","[65, 17, 61]","[60, 36, 61]","[59, 25, 52]",0,none,close
"[47, 64, 15]","[49, 74, 37]","[50, 77, -3]","[50, 77, -3]","[49, 74, 37]","[47, 64, 15]",2,none,close
"[40, 79, -87]","[35, 56, -89]","[40, 50, -57]","[40, 79, -87]","[35, 56, -89]","[40, 50, -57]",0,none,close
"[71, -34, -10]","[86, -57, 7]","[68, -25, -26]","[71, -34, -10]","[68, -25, -26]","[86, -57, 7]",0,none,close
"[87, -83, 72]","[81, -69, 76]","[89, -61, 85]","[89, -61, 85]","[87, -83, 72]","[81, -69, 76]",1,none,close
"[50, 81, -57]","[51, 76, -38]","[56, 88, -31]","[56, 88, -31]","[51, 76, -38]","[50, 81, -57]",2,none,close
"[68, -2, 54]","[83, -23, 77]","[81, -4, 79]","[81, -4, 79]","[83, -23, 77]","[68, -2, 54]",2,none,close
"[50, 76, -24]","[58, 92, -42]","[48, 71, -50]","[48, 71, -50]","[58, 92, -42]","[50, 76, -24]",2,none,close
"[68, -58, 52]","[81, -51, 76]","[75, -69, 60]","[81, -51, 76]","[75, -69, 60]","[68, -58, 52]",2,none,close
"[79, -18, 69]","[83, -59, 78]","[80, -7, 76]","[79, -18, 69]","[80, -7, 76]","[83, -59, 78]",0,none,close
"[75, -65, 44]","[76, -49, 68]","[76, -57, 20]","[75, -65, 44]","[76, -57, 20]","[76, -49, 68]",0,none,close
"[65, 3, 52]","[84, -11, 81]","[73, 14, 74]","[65, 3, 52]","[73, 14, 74]","[84, -11, 81]",0,none,close
"[74, -40, 63]","[85, -71, 38]","[78, -75, 66]","[85, -71, 38]","[78, -75, 66]","[74, -40, 63]",2,none,close
"[35, 54, -74]","[51, 88, -69]","[42, 33, -74]","[42, 33, -74]","[35, 54, -74]","[51, 88, -69]",1,none,close
"[93, -19, 90]","[83, -19, 77]","[85, -9, 84]","[93, -19, 90]","[85, -9, 84]","[83, -19, 77]",0,none,close
"[48, 69, 20]","[52, 81, -10]","[50, 76, 43]","[50, 76, 43]","[52, 81, -10]","[48, 69, 20]",2,none,close
"[67, -14, -41]","[54, 1, -47]","[77, -28, -31]","[67, -14, -41]","[77, -28, -31]","[54, 1, -47]",0,none,close
"[77, -10, 69]","[84, -3, 84]","[82, -55, 76]","[77, -10, 69]","[82, -55, 76]","[84, -3, 84]",0,none,close
"[62, 9, 48]","[63, 17, 57]","[63, 23, 60]","[62, 9, 48]","[63, 23, 60]","[63, 17, 57]",0,none,close
"[76, -20, 64]","[73, 10, 73]","[72, -43, 59]","[73, 10, 73]","[72, -43, 59]","[76, -20, 64]",2,none,close
"[43, 20, -57]","[37, 70, -83]","[34, 42, -70]","[43, 20, -57]","[37, 70, -83]","[34, 42, -70]",0,none,close
"[45, 26, -70]","[40, 82, -93]","[31, 68, -93]","[31, 68, -93]","[45, 26, -70]","[40, 82, -93]",1,none,close
"[82, -80, 76]","[75, -64, 40]","[85, -65, 24]","[75, -64, 40]","[82, -80, 76]","[85, -65, 24]",1,none,close
"[73, -5, 65]","[77, -21, 65]","[78, 11, 80]","[77, -21, 65]","[78, 11, 80]","[73, -5, 65]",2,none,close
"[80, -78, 72]","[88, -41, 84]","[82, -54, 77]","[88, -41, 84]","[80, -78, 72]","[82, -54, 77]",1,none,close
"[78, -72, 71]","[87, -39, 83]","[85, -80, 80]","[78, -72, 71]","[87, -39, 83]","[85, -80, 80]",0,none,close
"[78, -2, 75]","[86, -17, 82]","[81, -25, 75]","[86, -17, 82]","[78, -2, 75]","[81, -25, 75]",1,none,close
"[51, 78, 20]","[51, 78, -33]","[47, 66, 1]","[47, 66, 1]","[51, 78, 20]","[51, 78, -33]",1,none,close
"[70, -55, 31]","[75, -66, 44]","[86, -63, 18]","[70, -55, 31]","[86, -63, 18]","[75, -66, 44]",0,none,close
"[81, -26, 74]","[88, -54, 84]","[78, 1, 76]","[78, 1, 76]","[88, -54, 84]","[81, -26, 74]",2,none,close
"[53, 80, 53]","[50, 67, 55]","[49, 74, 23]","[53, 80, 53]","[50, 67, 55]","[49, 74, 23]",0,none,close
"[57, -9, -35]","[68, -29, -15]","[48, 13, -57]","[68, -29, -15]","[48, 13, -57]","[57, -9, -35]",2,none,close
"[69, -22, -32]","[54, -4, -36]","[82, -37, -22]","[54, -4, -36]","[69, -22, -32]","[82, -37, -22]",1,none,close
"[82, -77, 64]","[76, -39, 66]","[84, -61, 80]","[82, -77, 64]","[76, -39, 66]","[84, -61, 80]",0,none,close
"[79, -36, -21]","[81, -41, -14]","[83, -48, -6]","[81, -41, -14]","[79, -36, -21]","[83, -48, -6]",1,none,close
"[49, 78, -58]","[36, 69, -84]","[48, 69, 0]","[36, 69, -84]","[49, 78, -58]","[48, 69, 0]",1,none,close
"[53, 81, 12]","[48, 70, 29]","[45, 52, 26]","[48, 70, 29]","[45, 52, 26]","[53, 81, 12]",2,none,close
"[84, -22, 78]","[77, -31, 67]","[93, -34, 90]","[77, -31, 67]","[84, -22, 78]","[93, -34, 90]",1,none,close
"[31, 70, -97]","[41, 27, -64]","[40, 82, -92]","[31, 70, -97]","[41, 27, -64]","[40, 82, -92]",0,none,close
"[57, 24, 46]","[54, 69, 64]","[69, 6, 62]","[69, 6, 62]","[57, 24, 46]","[54, 69, 64]",1,none,close
"[36, 42, -75]","[44, 19, -58]","[35, 58, -75]","[36, 42, -75]","[35, 58, -75]","[44, 19, -58]",0,none,close
"[54, 85, -52]","[48, 61, -24]","[51, 77, -3]","[48, 61, -24]","[51, 77, -3]","[54, 85, -52]",2,none,close
"[47, 87, -82]","[53, 90, -65]","[37, 53, -67]","[53, 90, -65]","[37, 53, -67]","[47, 87, -82]",2,none,close
"[68, 0, 55]","[68, 15, 67]","[77, -1, 74]","[77, -1, 74]","[68, 15, 67]","[68, 0, 55]",2,none,close
"[93, -25, 90]","[86, -71, 82]","[88, -11, 86]","[93, -25, 90]","[86, -71, 82]","[88, -11, 86]",0,none,close
"[77, -68, 48]","[73, -64, 62]","[83, -58, 78]","[83, -58, 78]","[77, -68, 48]","[73, -64, 62]",1,none,close
"[32, 75, -102]","[35, 58, -76]","[34, 42, -68]","[35, 58, -76]","[32, 75, -102]","[34, 42, -68]",1,none,close
"[81, -46, -6]","[77, -63, 31]","[80, -55, 11]","[80, -55, 11]","[81, -46, -6]","[77, -63, 31]",1,none,close
"[52, 81, -41]","[50, 75, 7]","[40, 58, -62]","[52, 81, -41]","[50, 75, 7]","[40, 58, -62]",0,none,close
"[46, 85, -80]","[32, 59, -85]","[45, 59, -48]","[45, 59, -48]","[32, 59, -85]","[46, 85, -80]",2,none,close
"[46, 52, 15]","[46, 52, 32]","[48, 64, -22]","[46, 52, 15]","[48, 64, -22]","[46, 52, 32]",0,none,close
"[47, 61, -7]","[46, 62, 34]","[51, 77, -15]","[51, 77, -15]","[47, 61, -7]","[46, 62, 34]",1,none,close
"[53, 0, -42]","[48, 8, -48]","[41, 44, -84]","[48, 8, -48]","[41, 44, -84]","[53, 0, -42]",2,none,close
"[69, 0, 58]","[86, -11, 84]","[72, 17, 74]","[72, 17, 74]","[69, 0, 58]","[86, -11, 84]",1,none,close
"[80, -70, 45]","[90, -50, 87]","[77, -73, 70]","[90, -50, 87]","[77, -73, 70]","[80, -70, 45]",2,none,close
"[84, -25, 79]","[88, -13, 86]","[73, -42, 61]","[84, -25, 79]","[88, -13, 86]","[73, -42, 61]",0,none,close
"[52, 79, 32]","[47, 67, 47]","[46, 59, 10]","[47, 67, 47]","[52, 79, 32]","[46, 59, 10]",1,none,close
"[48, 70, -5]","[46, 67, -52]","[46, 57, 31]","[48, 70, -5]","[46, 57, 31]","[46, 67, -52]",0,none,close
"[46, 58, 14]","[51, 77, 44]","[47, 59, -3]","[51, 77, 44]","[46, 58, 14]","[47, 59, -3]",1,none,close
"[49, 72, 40]","[52, 78, 54]","[52, 78, 53]","[52, 78, 54]","[49, 72, 40]","[52, 78, 53]",1,none,close
"[48, 63, -21]","[45, 82, -78]","[50, 67, -39]","[45, 82, -78]","[50, 67, -39]","[48, 63, -21]",2,none,close
"[53, 82, 7]","[48, 67, -12]","[48, 63, -12]","[53, 82, 7]","[48, 67, -12]","[48, 63, -12]",0,none,close
"[51, 78, 40]","[55, 59, 62]","[49, 58, 47]","[49, 58, 47]","[55, 59, 62]","[51, 78, 40]",2,none,close
"[87, -70, 33]","[70, -56, 34]","[79, -77, 71]","[87, -70, 33]","[79, -77, 71]","[70, -56, 34]",0,none,close
"[87, -83, 72]","[87, -76, 49]","[88, -78, 52]","[87, -76, 49]","[88, -78, 52]","[87, -83, 72]",2,none,close
"[67, 16, 65]","[60, 28, 56]","[77, 5, 77]","[60, 28, 56]","[77, 5, 77]","[67, 16, 65]",2,none,close
"[79, -37, -19]","[79, -45, -6]","[71, -40, 0]","[79, -37, -19]","[79, -45, -6]","[71, -40, 0]",0,none,close
"[58, 36, 56]","[51, 49, 45]","[65, 7, 53]","[51, 49, 45]","[65, 7, 53]","[58, 36, 56]",2,none,close
"[70, -54, 29]","[78, -72, 58]","[82, -61, 19]","[78, -72, 58]","[70, -54, 29]","[82, -61, 19]",1,none,close
"[77, -58, 69]","[81, -58, 15]","[88, -60, 84]","[88, -60, 84]","[77, -58, 69]","[81, -58, 15]",1,none,close
"[85, -81, 70]","[84, -52, 80]","[77, -73, 65]","[77, -73, 65]","[84, -52, 80]","[85, -81, 70]",2,none,close
"[75, -70, 61]","[83, -37, 77]","[85, -46, 81]","[75, -70, 61]","[85, -46, 81]","[83, -37, 77]",0,none,close
"[34, 78, -101]","[46, 62, -50]","[35, 41, -65]","[34, 78, -101]","[46, 62, -50]","[35, 41, -65]",0,none,close
"[35, 61, -78]","[37, 52, -88]","[44, 67, -58]","[37, 52, -88]","[44, 67, -58]","[35, 61, -78]",2,none,close
"[65, -22, -24]","[70, -29, -19]","[74, -28, -29]","[65, -22, -24]","[70, -29, -19]","[74, -28, -29]",0,none,close
"[35, 40, -66]","[33, 79, -106]","[33, 67, -88]","[33, 79, -106]","[33, 67, -88]","[35, 40, -66]",2,none,close
"[64, 37, 69]","[56, 67, 66]","[69, 29, 73]","[64, 37, 69]","[56, 67, 66]","[69, 29, 73]",0,none,close
"[35, 65, -98]","[48, 24, -71]","[47, 84, -72]","[47, 84, -72]","[48, 24, -71]","[35, 65, -98]",2,none,close
"[71, 29, 76]","[77, 16, 79]","[65, 4, 50]","[71, 29, 76]","[77, 16, 79]","[65, 4, 50]",0,none,close
"[43, 37, -80]","[43, 61, -56]","[36, 80, -101]","[36, 80, -101]","[43, 37, -80]","[43, 61, -56]",1,none,close
"[42, 83, -88]","[51, 79, -52]","[35, 45, -68]","[42, 83, -88]","[35, 45, -68]","[51, 79, -52]",0,none,close
"[51, 75, -48]","[50, 89, -75]","[42, 75, -75]","[51, 75, -48]","[42, 75, -75]","[50, 89, -75]",0,none,close
"[35, 51, -72]","[38, 62, -72]","[34, 76, -97]","[35, 51, -72]","[34, 76, -97]","[38, 62, -72]",0,none,close
"[52, 90, -72]","[34, 74, -94]","[52, 80, -50]","[52, 90, -72]","[34, 74, -94]","[52, 80, -50]",0,none,close
"[48, 46, 34]","[46, 53, 10]","[46, 57, 21]","[46, 53, 10]","[46, 57, 21]","[48, 46, 34]",2,none,close
"[52, 82, -33]","[42, 56, -56]","[42, 80, -81]","[52, 82, -33]","[42, 80, -81]","[42, 56, -56]",0,none,close
"[53, 74, 64]","[61, 35, 62]","[56, 38, 51]","[53, 74, 64]","[61, 35, 62]","[56, 38, 51]",0,none,close
"[39, 53, -63]","[46, 12, -48]","[31, 65, -91]","[31, 65, -91]","[46, 12, -48]","[39, 53, -63]",2,none,close
"[78, -60, 71]","[70, -60, 56]","[85, -40, 80]","[70, -60, 56]","[78, -60, 71]","[85, -40, 80]",1,none,close
