"[82, -52, 2]","[46, 56, 25]","[74, -11, 61]","[46, 56, 25]","[74, -11, 61]","[82, -52, 2]",2,none,far
"[77, 7, 78]","[35, 71, -87]","[31, 71, -97]","[35, 71, -87]","[77, 7, 78]","[31, 71, -97]",1,none,far
"[76, -26, -33]","[48, 63, -12]","[49, 73, 56]","[48, 63, -12]","[49, 73, 56]","[76, -26, -33]",2,none,far
"[58, -2, -48]","[47, 61, -12]","[48, 63, 46]","[48, 63, 46]","[58, -2, -48]","[47, 61, -12]",1,none,far
"[60, 54, 68]","[43, 75, -70]","[82, -44, -11]","[82, -44, -11]","[43, 75, -70]","[60, 54, 68]",2,none,far
"[84, -64, 79]","[33, 79, -105]","[47, 32, -79]","[33, 79, -105]","[47, 32, -79]","[84, -64, 79]",2,none,far
"[90, -51, -8]","[35, 39, -67]","[48, 80, -64]","[90, -51, -8]","[48, 80, -64]","[35, 39, -67]",0,none,far
"[60, 56, 69]","[36, 80, -99]","[37, 65, -76]","[60, 56, 69]","[36, 80, -99]","[37, 65, -76]",0,none,far
"[32, 69, -99]","[48, 11, -53]","[48, 14, -58]","[48, 11, -53]","[48, 14, -58]","[32, 69, -99]",2,none,far
"[37, 81, -99]","[51, 78, -19]","[79, -71, 73]","[51, 78, -19]","[79, -71, 73]","[37, 81, -99]",2,none,far
"[56, 48, 58]","[74, -64, 64]","[50, 75, -50]","[50, 75, -50]","[74, -64, 64]","[56, 48, 58]",2,none,far
"[80, -74, 74]","[84, -14, 80]","[67, -23, -26]","[84, -14, 80]","[80, -74, 74]","[67, -23, -26]",1,none,far
"[86, -55, 3]","[53, 86, -59]","[75, -24, -35]","[75, -24, -35]","[53, 86, -59]","[86, -55, 3]",2,none,far
"[48, 68, 41]","[80, -64, 74]","[62, -19, -24]","[80, -64, 74]","[48, 68, 41]","[62, -19, -24]",1,none,far
"[72, -42, 2]","[79, -6, 76]","[44, 61, -54]","[72, -42, 2]","[44, 61, -54]","[79, -6, 76]",0,none,far
"[74, -59, 32]","[34, 66, -86]","[90, -9, 89]","[34, 66, -86]","[90, -9, 89]","[74, -59, 32]",2,none,far
"[86, -84, 81]","[53, 84, -22]","[77, -30, -29]","[53, 84, -22]","[77, -30, -29]","[86, -84, 81]",2,none,far
"[86, -61, 14]","[33, 69, -90]","[40, 52, -59]","[40, 52, -59]","[33, 69, -90]","[86, -61, 14]",2,none,far
"[76, -1, 73]","[70, -48, 56]","[85, -81, 80]","[70, -48, 56]","[85, -81, 80]","[76, -1, 73]",2,none,far
"[70, -55, 32]","[69, -24, -29]","[44, 20, -60]","[69, -24, -29]","[44, 20, -60]","[70, -55, 32]",2,none,far
"[50, 74, -19]","[81, -75, 60]","[74, -62, 39]","[50, 74, -19]","[81, -75, 60]","[74, -62, 39]",0,none,far
"[53, 54, 55]","[74, -62, 64]","[52, 91, -73]","[74, -62, 64]","[52, 91, -73]","[53, 54, 55]",2,none,far
"[82, -47, -6]","[33, 59, -81]","[81, -50, 75]","[81, -50, 75]","[82, -47, -6]","[33, 59, -81]",1,none,far
"[34, 44, -72]","[67, 4, 57]","[69, -28, -20]","[34, 44, -72]","[67, 4, 57]","[69, -28, -20]",0,none,far
"[93, -15, 92]","[50, 76, -26]","[52, 8, -56]","[93, -15, 92]","[52, 8, -56]","[50, 76, -26]",0,none,far
"[54, 90, -64]","[52, 79, 12]","[70, -3, 58]","[52, 79, 12]","[70, -3, 58]","[54, 90, -64]",2,none,far
"[90, -26, 87]","[53, 87, -58]","[82, -36, -24]","[53, 87, -58]","[82, -36, -24]","[90, -26, 87]",2,none,far
"[33, 46, -73]","[85, -20, 80]","[85, -75, 80]","[33, 46, -73]","[85, -75, 80]","[85, -20, 80]",0,none,far
"[51, 77, -29]","[78, -40, -12]","[77, -63, 32]","[77, -63, 32]","[51, 77, -29]","[78, -40, -12]",1,none,far
"[51, 12, -58]","[65, 39, 70]","[82, -11, 78]","[82, -11, 78]","[51, 12, -58]","[65, 39, 70]",1,none,far
"[42, 55, -56]","[48, 68, -2]","[49, 73, 51]","[42, 55, -56]","[48, 68, -2]","[49, 73, 51]",0,none,far
"[53, 81, 0]","[52, 66, 58]","[94, -27, 91]","[94, -27, 91]","[52, 66, 58]","[53, 81, 0]",2,none,far
"[75, -42, -4]","[53, 74, 64]","[92, -17, 89]","[53, 74, 64]","[75, -42, -4]","[92, -17, 89]",1,none,far
"[84, -25, 78]","[69, 8, 63]","[76, -31, -26]","[84, -25, 78]","[69, 8, 63]","[76, -31, -26]",0,none,far
"[46, 64, 41]","[33, 72, -95]","[36, 74, -90]","[36, 74, -90]","[46, 64, 41]","[33, 72, -95]",1,none,far
"[72, -56, 27]","[50, 68, -43]","[65, 44, 73]","[50, 68, -43]","[72, -56, 27]","[65, 44, 73]",1,none,far
"[59, 96, -60]","[74, -41, 62]","[46, 59, 20]","[59, 96, -60]","[46, 59, 20]","[74, -41, 62]",0,none,far
"[41, 22, -55]","[53, 82, -14]","[74, -48, 7]","[74, -48, 7]","[53, 82, -14]","[41, 22, -55]",2,none,far
"[71, 7, 68]","[35, 66, -99]","[51, 54, 50]","[71, 7, 68]","[51, 54, 50]","[35, 66, -99]",0,none,far
"[53, 82, -9]","[43, 64, -58]","[86, -45, -13]","[86, -45, -13]","[53, 82, -9]","[43, 64, -58]",1,none,far
"[74, 3, 71]","[44, 20, -59]","[84, -42, -16]","[44, 20, -59]","[84, -42, -16]","[74, 3, 71]",2,none,far
"[48, 20, -66]","[81, -64, 28]","[71, -63, 59]","[48, 20, -66]","[71, -63, 59]","[81, -64, 28]",0,none,far
"[57, -9, -35]","[56, 89, -39]","[37, 79, -96]","[37, 79, -96]","[57, -9, -35]","[56, 89, -39]",1,none,far
"[95, -21, 92]","[74, -53, 63]","[89, -66, 20]","[89, -66, 20]","[74, -53, 63]","[95, -21, 92]",2,none,far
"[38, 65, -74]","[74, -66, 48]","[87, -78, 53]","[38, 65, -74]","[74, -66, 48]","[87, -78, 53]",0,none,far
"[76, -57, 22]","[47, 10, -50]","[48, 70, 44]","[76, -57, 22]","[48, 70, 44]","[47, 10, -50]",0,none,far
"[61, 2, -58]","[85, -30, 81]","[44, 57, -51]","[61, 2, -58]","[44, 57, -51]","[85, -30, 81]",0,none,far
"[70, -49, 18]","[49, 74, 8]","[58, 93, -44]","[49, 74, 8]","[70, -49, 18]","[58, 93, -44]",1,none,far
"[78, -26, 68]","[45, 51, 28]","[59, 18, 46]","[59, 18, 46]","[45, 51, 28]","[78, -26, 68]",2,none,far
"[45, 77, -66]","[71, -49, 57]","[50, 75, 13]","[45, 77, -66]","[50, 75, 13]","[71, -49, 57]",0,none,far
"[62, 34, 64]","[61, -17, -27]","[81, -76, 76]","[62, 34, 64]","[61, -17, -27]","[81, -76, 76]",0,none,far
"[48, 68, 17]","[55, -6, -34]","[50, 73, -40]","[48, 68, 17]","[55, -6, -34]","[50, 73, -40]",0,none,far
"[61, -14, -33]","[33, 74, -97]","[49, 71, 54]","[33, 74, -97]","[61, -14, -33]","[49, 71, 54]",1,none,far
"[43, 84, -86]","[47, 61, 1]","[77, -48, 2]","[43, 84, -86]","[47, 61, 1]","[77, -48, 2]",0,none,far
"[86, -84, 81]","[35, 60, -79]","[54, 85, -28]","[86, -84, 81]","[54, 85, -28]","[35, 60, -79]",0,none,far
"[48, 46, 35]","[70, -59, 57]","[83, -54, 5]","[83, -54, 5]","[48, 46, 35]","[70, -59, 57]",1,none,far
"[49, 69, -47]","[33, 79, -104]","[76, -44, 66]","[76, -44, 66]","[33, 79, -104]","[49, 69, -47]",2,none,far
"[55, 90, -54]","[71, -27, -26]","[59, 7, -62]","[55, 90, -54]","[71, -27, -26]","[59, 7, -62]",0,none,far
"[43, 84, -86]","[84, -74, 47]","[54, 67, 64]","[84, -74, 47]","[54, 67, 64]","[43, 84, -86]",2,none,far
"[71, -33, -10]","[32, 72, -98]","[44, 81, -77]","[71, -33, -10]","[32, 72, -98]","[44, 81, -77]",0,none,far
"[48, 68, 33]","[93, -29, 90]","[73, 4, 70]","[93, -29, 90]","[48, 68, 33]","[73, 4, 70]",1,none,far
"[45, 52, 26]","[37, 45, -63]","[70, -43, 5]","[45, 52, 26]","[37, 45, -63]","[70, -43, 5]",0,none,far
"[73, -37, -9]","[46, 86, -81]","[37, 70, -83]","[46, 86, -81]","[73, -37, -9]","[37, 70, -83]",1,none,far
"[74, -66, 50]","[54, -3, -38]","[38, 80, -95]","[54, -3, -38]","[74, -66, 50]","[38, 80, -95]",1,none,far
"[82, -6, 80]","[73, -50, 14]","[63, -9, -45]","[73, -50, 14]","[63, -9, -45]","[82, -6, 80]",2,none,far
"[80, 10, 82]","[83, -74, 78]","[52, 23, -74]","[83, -74, 78]","[52, 23, -74]","[80, 10, 82]",2,none,far
"[90, -53, -4]","[46, 57, 31]","[69, -58, 43]","[90, -53, -4]","[69, -58, 43]","[46, 57, 31]",0,none,far
"[67, -24, -24]","[58, 26, 48]","[35, 57, -91]","[58, 26, 48]","[67, -24, -24]","[35, 57, -91]",1,none,far
"[86, -52, -2]","[36, 59, -75]","[31, 64, -91]","[86, -52, -2]","[31, 64, -91]","[36, 59, -75]",0,none,far
"[78, -63, 71]","[47, 60, -8]","[71, 16, 72]","[71, 16, 72]","[78, -63, 71]","[47, 60, -8]",1,none,far
