"[47, 10, -50]","[35, 42, -73]","[73, -62, 40]","[47, 10, -50]","[35, 42, -73]","[73, -62, 40]",0,none,split
"[68, -16, -39]","[84, -38, -23]","[72, -54, 26]","[84, -38, -23]","[72, -54, 26]","[68, -16, -39]",2,none,split
"[45, 24, -68]","[36, 57, -71]","[74, -3, 68]","[45, 24, -68]","[74, -3, 68]","[36, 57, -71]",0,none,split
"[82, -51, 0]","[72, -37, -7]","[40, 48, -88]","[72, -37, -7]","[82, -51, 0]","[40, 48, -88]",1,none,split
"[65, 36, 70]","[55, 66, 65]","[31, 61, -89]","[55, 66, 65]","[31, 61, -89]","[65, 36, 70]",2,none,split
"[80, -62, 75]","[87, -76, 82]","[72, -4, 62]","[72, -4, 62]","[87, -76, 82]","[80, -62, 75]",2,none,split
"[33, 52, -83]","[44, 78, -72]","[70, -42, 6]","[70, -42, 6]","[44, 78, -72]","[33, 52, -83]",2,none,split
"[71, 3, 66]","[61, 28, 59]","[52, 79, 41]","[52, 79, 41]","[61, 28, 59]","[71, 3, 66]",2,none,split
"[72, -61, 43]","[83, -79, 67]","[77, -1, 74]","[77, -1, 74]","[72, -61, 43]","[83, -79, 67]",1,none,split
"[50, 75, 29]","[53, 72, 64]","[47, 80, -66]","[47, 80, -66]","[53, 72, 64]","[50, 75, 29]",2,none,split
"[56, 6, -58]","[61, -8, -44]","[79, -38, -17]","[61, -8, -44]","[56, 6, -58]","[79, -38, -17]",1,none,split
"[50, 74, -17]","[54, 86, -23]","[82, -78, 77]","[50, 74, -17]","[54, 86, -23]","[82, -78, 77]",0,none,split
"[48, 71, 33]","[54, 53, 55]","[36, 58, -74]","[48, 71, 33]","[36, 58, -74]","[54, 53, 55]",0,none,split
"[49, 65, -34]","[50, 77, -52]","[84, -39, -20]","[50, 77, -52]","[49, 65, -34]","[84, -39, -20]",1,none,split
"[49, 67, -29]","[55, 89, -53]","[50, 10, -54]","[50, 10, -54]","[49, 67, -29]","[55, 89, -53]",1,none,split
"[49, 57, 44]","[59, 35, 58]","[93, -22, 90]","[49, 57, 44]","[59, 35, 58]","[93, -22, 90]",0,none,split
"[74, -34, -16]","[85, -41, -19]","[50, 3, -42]","[85, -41, -19]","[74, -34, -16]","[50, 3, -42]",1,none,split
"[51, 79, -6]","[50, 78, -53]","[79, -6, 76]","[50, 78, -53]","[79, -6, 76]","[51, 79, -6]",2,none,split
"[82, -51, 76]","[78, -29, 70]","[35, 53, -73]","[35, 53, -73]","[82, -51, 76]","[78, -29, 70]",1,none,split
"[48, 65, -25]","[54, 84, -3]","[34, 72, -93]","[34, 72, -93]","[54, 84, -3]","[48, 65, -25]",2,none,split
"[52, 80, -50]","[49, 67, -34]","[84, -78, 60]","[49, 67, -34]","[84, -78, 60]","[52, 80, -50]",2,none,split
"[40, 66, -70]","[36, 52, -87]","[46, 60, 30]","[36, 52, -87]","[40, 66, -70]","[46, 60, 30]",1,none,split
"[45, 52, 30]","[47, 65, 1]","[55, 86, -27]","[55, 86, -27]","[47, 65, 1]","[45, 52, 30]",2,none,split
"[73, -37, -8]","[62, -16, -32]","[53, 81, 16]","[73, -37, -8]","[62, -16, -32]","[53, 81, 16]",0,none,split
"[32, 52, -81]","[40, 61, -65]","[73, -66, 55]","[40, 61, -65]","[32, 52, -81]","[73, -66, 55]",1,none,split
"[56, 48, 58]","[51, 76, 57]","[40, 81, -91]","[56, 48, 58]","[51, 76, 57]","[40, 81, -91]",0,none,split
"[80, -69, 42]","[72, -54, 25]","[34, 79, -103]","[80, -69, 42]","[72, -54, 25]","[34, 79, -103]",0,none,split
"[89, -47, -13]","[73, -43, 0]","[48, 69, 46]","[89, -47, -13]","[48, 69, 46]","[73, -43, 0]",0,none,split
"[89, -38, 85]","[82, -79, 73]","[56, 92, -58]","[56, 92, -58]","[89, -38, 85]","[82, -79, 73]",1,none,split
