"[90, -28, 87]","[80, -22, 71]","[80, -9, 75]","[80, -22, 71]","[90, -28, 87]","[80, -9, 75]",1,none,close
"[89, -59, 85]","[76, -24, 65]","[74, -66, 50]","[76, -24, 65]","[74, -66, 50]","[89, -59, 85]",2,none,close
"[37, 73, -84]","[45, 61, -51]","[47, 81, -69]","[37, 73, -84]","[47, 81, -69]","[45, 61, -51]",0,none,close
"[40, 33, -71]","[46, 19, -61]","[33, 71, -102]","[46, 19, -61]","[40, 33, -71]","[33, 71, -102]",1,none,close
"[74, -65, 47]","[76, -59, 67]","[76, -69, 68]","[74, -65, 47]","[76, -59, 67]","[76, -69, 68]",0,none,close
"[47, 33, -80]","[36, 65, -80]","[52, 11, -60]","[47, 33, -80]","[36, 65, -80]","[52, 11, -60]",0,none,close
"[35, 78, -99]","[34, 56, -88]","[45, 72, -62]","[45, 72, -62]","[34, 56, -88]","[35, 78, -99]",2,none,close
"[58, 95, -59]","[53, 83, -18]","[48, 80, -62]","[48, 80, -62]","[53, 83, -18]","[58, 95, -59]",2,none,close
"[88, -52, 84]","[86, -81, 67]","[77, -65, 38]","[86, -81, 67]","[88, -52, 84]","[77, -65, 38]",1,none,close
"[42, 59, -58]","[49, 68, -33]","[37, 41, -75]","[42, 59, -58]","[37, 41, -75]","[49, 68, -33]",0,none,close
"[88, -57, 84]","[75, -33, 63]","[75, -64, 40]","[75, -33, 63]","[75, -64, 40]","[88, -57, 84]",2,none,close
"[38, 75, -86]","[42, 76, -75]","[32, 75, -104]","[38, 75, -86]","[32, 75, -104]","[42, 76, -75]",0,none,close
"[64, 32, 66]","[55, 50, 58]","[72, 2, 68]","[55, 50, 58]","[72, 2, 68]","[64, 32, 66]",2,none,close
"[64, -13, -39]","[72, -33, -14]","[69, -28, -20]","[69, -28, -20]","[64, -13, -39]","[72, -33, -14]",1,none,close
"[88, -62, 14]","[82, -75, 54]","[90, -53, -4]","[82, -75, 54]","[88, -62, 14]","[90, -53, -4]",1,none,close
"[40, 51, -59]","[34, 73, -92]","[44, 62, -53]","[40, 51, -59]","[34, 73, -92]","[44, 62, -53]",0,none,close
"[53, 79, 66]","[47, 65, 47]","[53, 33, 38]","[53, 79, 66]","[53, 33, 38]","[47, 65, 47]",0,none,close
"[48, 66, -19]","[56, 89, -39]","[51, 76, -32]","[51, 76, -32]","[56, 89, -39]","[48, 66, -19]",2,none,close
"[92, -32, 89]","[87, -84, 74]","[83, -67, 79]","[92, -32, 89]","[87, -84, 74]","[83, -67, 79]",0,none,close
"[70, -62, 54]","[85, -80, 66]","[77, -30, 68]","[85, -80, 66]","[70, -62, 54]","[77, -30, 68]",1,none,close
"[88, -61, 12]","[73, -61, 40]","[73, -61, 40]","[73, -61, 40]","[73, -61, 40]","[88, -61, 12]",2,none,close
"[46, 63, 39]","[53, 80, 18]","[54, 59, 60]","[53, 80, 18]","[46, 63, 39]","[54, 59, 60]",1,none,close
"[49, 67, -38]","[42, 70, -69]","[39, 58, -65]","[39, 58, -65]","[42, 70, -69]","[49, 67, -38]",2,none,close
"[58, 41, 60]","[50, 42, 37]","[47, 63, 45]","[58, 41, 60]","[47, 63, 45]","[50, 42, 37]",0,none,close
"[74, -60, 64]","[86, -33, 82]","[79, -50, 73]","[79, -50, 73]","[86, -33, 82]","[74, -60, 64]",2,none,close
"[72, -59, 39]","[71, -35, 56]","[76, -70, 69]","[72, -59, 39]","[76, -70, 69]","[71, -35, 56]",0,none,close
"[43, 84, -86]","[42, 28, -67]","[36, 57, -72]","[43, 84, -86]","[36, 57, -72]","[42, 28, -67]",0,none,close
"[54, 66, 63]","[60, 47, 65]","[46, 61, 40]","[46, 61, 40]","[54, 66, 63]","[60, 47, 65]",1,none,close
"[47, 63, -9]","[58, 94, -57]","[53, 83, -24]","[47, 63, -9]","[58, 94, -57]","[53, 83, -24]",0,none,close
"[70, -45, 55]","[84, -28, 79]","[80, -78, 74]","[80, -78, 74]","[70, -45, 55]","[84, -28, 79]",1,none,close
"[89, -21, 85]","[81, -67, 76]","[84, -1, 84]","[81, -67, 76]","[84, -1, 84]","[89, -21, 85]",2,none,close
"[75, 3, 73]","[88, -11, 86]","[81, -17, 74]","[81, -17, 74]","[75, 3, 73]","[88, -11, 86]",1,none,close
"[31, 71, -100]","[39, 78, -89]","[38, 78, -90]","[39, 78, -89]","[38, 78, -90]","[31, 71, -100]",2,none,close
"[72, 16, 73]","[62, 29, 61]","[88, -7, 88]","[72, 16, 73]","[88, -7, 88]","[62, 29, 61]",0,none,close
"[67, 8, 60]","[58, 36, 56]","[80, -9, 75]","[80, -9, 75]","[67, 8, 60]","[58, 36, 56]",1,none,close
"[57, 93, -46]","[50, 72, -45]","[53, 84, -33]","[57, 93, -46]","[50, 72, -45]","[53, 84, -33]",0,none,close
"[50, 74, 24]","[47, 67, 48]","[47, 45, 31]","[47, 67, 48]","[47, 45, 31]","[50, 74, 24]",2,none,close
"[48, 68, -10]","[49, 73, 14]","[44, 61, -53]","[44, 61, -53]","[48, 68, -10]","[49, 73, 14]",1,none,close
"[90, -16, 88]","[83, -45, 78]","[71, -36, 56]","[90, -16, 88]","[71, -36, 56]","[83, -45, 78]",0,none,close
"[35, 38, -66]","[45, 18, -57]","[35, 65, -98]","[35, 38, -66]","[45, 18, -57]","[35, 65, -98]",0,none,close
"[46, 59, 7]","[51, 79, -22]","[54, 87, -42]","[51, 79, -22]","[54, 87, -42]","[46, 59, 7]",2,none,close
"[35, 69, -85]","[41, 66, -66]","[49, 84, -65]","[49, 84, -65]","[35, 69, -85]","[41, 66, -66]",1,none,close
"[36, 75, -92]","[39, 61, -68]","[34, 44, -71]","[34, 44, -71]","[36, 75, -92]","[39, 61, -68]",1,none,close
"[65, 10, 55]","[70, 22, 72]","[78, -2, 76]","[78, -2, 76]","[70, 22, 72]","[65, 10, 55]",2,none,close
"[85, -57, 8]","[70, -62, 52]","[77, -70, 55]","[85, -57, 8]","[70, -62, 52]","[77, -70, 55]",0,none,close
"[35, 75, -94]","[37, 59, -94]","[47, 65, -49]","[35, 75, -94]","[37, 59, -94]","[47, 65, -49]",0,none,close
"[85, -21, 81]","[74, 3, 70]","[81, -50, 75]","[85, -21, 81]","[81, -50, 75]","[74, 3, 70]",0,none,close
"[49, 73, -7]","[51, 77, -35]","[46, 59, 6]","[49, 73, -7]","[46, 59, 6]","[51, 77, -35]",0,none,close
"[71, -26, -29]","[79, -37, -19]","[70, -31, -16]","[79, -37, -19]","[70, -31, -16]","[71, -26, -29]",2,none,close
"[80, -64, 74]","[69, -49, 21]","[90, -62, 86]","[90, -62, 86]","[80, -64, 74]","[69, -49, 21]",1,none,close
"[42, 72, -69]","[32, 66, -96]","[51, 77, -44]","[51, 77, -44]","[32, 66, -96]","[42, 72, -69]",2,none,close
"[33, 52, -76]","[47, 10, -47]","[36, 79, -98]","[47, 10, -47]","[33, 52, -76]","[36, 79, -98]",1,none,close
"[51, 79, -52]","[38, 46, -61]","[36, 71, -86]","[51, 79, -52]","[38, 46, -61]","[36, 71, -86]",0,none,close
"[86, -83, 81]","[78, -71, 54]","[78, -75, 68]","[78, -75, 68]","[86, -83, 81]","[78, -71, 54]",1,none,close
"[74, -37, 62]","[71, -60, 43]","[83, -9, 80]","[74, -37, 62]","[83, -9, 80]","[71, -60, 43]",0,none,close
"[84, -42, -16]","[71, -24, -32]","[81, -46, -6]","[71, -24, -32]","[84, -42, -16]","[81, -46, -6]",1,none,close
"[46, 59, 4]","[52, 82, -44]","[47, 48, 31]","[52, 82, -44]","[47, 48, 31]","[46, 59, 4]",2,none,close
"[52, 86, -60]","[53, 82, 2]","[44, 76, -68]","[52, 86, -60]","[53, 82, 2]","[44, 76, -68]",0,none,close
"[48, 65, -19]","[50, 69, -43]","[42, 71, -69]","[42, 71, -69]","[48, 65, -19]","[50, 69, -43]",1,none,close
"[32, 65, -95]","[38, 54, -66]","[34, 53, -74]","[38, 54, -66]","[32, 65, -95]","[34, 53, -74]",1,none,close
"[90, -9, 89]","[78, 8, 79]","[70, -5, 57]","[78, 8, 79]","[90, -9, 89]","[70, -5, 57]",1,none,close
"[33, 51, -76]","[43, 76, -72]","[32, 77, -104]","[32, 77, -104]","[33, 51, -76]","[43, 76, -72]",1,none,close
"[51, 77, -1]","[55, 87, -37]","[48, 69, 28]","[48, 69, 28]","[51, 77, -1]","[55, 87, -37]",1,none,close
"[84, -80, 79]","[86, -42, 82]","[88, -45, 84]","[84, -80, 79]","[86, -42, 82]","[88, -45, 84]",0,none,close
"[53, 45, 47]","[46, 63, 36]","[57, 43, 58]","[53, 45, 47]","[57, 43, 58]","[46, 63, 36]",0,none,close
"[46, 83, -76]","[31, 66, -93]","[41, 36, -76]","[46, 83, -76]","[41, 36, -76]","[31, 66, -93]",0,none,close
"[82, -56, 9]","[73, -67, 58]","[73, -35, -13]","[82, -56, 9]","[73, -35, -13]","[73, -67, 58]",0,none,close
"[59, 60, 69]","[52, 77, 63]","[62, 29, 61]","[52, 77, 63]","[59, 60, 69]","[62, 29, 61]",1,none,close
"[81, -24, 74]","[78, -45, 71]","[73, -52, 62]","[73, -52, 62]","[78, -45, 71]","[81, -24, 74]",2,none,close
"[44, 76, -71]","[37, 46, -82]","[50, 75, -38]","[37, 46, -82]","[44, 76, -71]","[50, 75, -38]",1,none,close
"[43, 80, -78]","[35, 65, -82]","[41, 34, -74]","[35, 65, -82]","[43, 80, -78]","[41, 34, -74]",1,none,close
"[87, -84, 73]","[77, -60, 26]","[74, -68, 65]","[74, -68, 65]","[77, -60, 26]","[87, -84, 73]",2,none,close
"[51, 75, -48]","[48, 63, -17]","[48, 79, -62]","[51, 75, -48]","[48, 79, -62]","[48, 63, -17]",0,none,close
"[46, 18, -61]","[38, 31, -62]","[62, -4, -50]","[46, 18, -61]","[62, -4, -50]","[38, 31, -62]",0,none,close
"[48, 71, 20]","[51, 76, 62]","[51, 76, -27]","[51, 76, -27]","[51, 76, 62]","[48, 71, 20]",2,none,close
"[80, -32, -28]","[59, -13, -29]","[65, -23, -20]","[80, -32, -28]","[65, -23, -20]","[59, -13, -29]",0,none,close
"[41, 59, -61]","[53, 82, -45]","[41, 37, -77]","[53, 82, -45]","[41, 59, -61]","[41, 37, -77]",1,none,close
"[41, 24, -57]","[41, 50, -90]","[39, 49, -60]","[39, 49, -60]","[41, 50, -90]","[41, 24, -57]",2,none,close
"[51, 77, 38]","[55, 85, -7]","[50, 51, 45]","[55, 85, -7]","[50, 51, 45]","[51, 77, 38]",2,none,close
"[52, 80, 21]","[54, 84, 1]","[47, 62, 1]","[47, 62, 1]","[52, 80, 21]","[54, 84, 1]",1,none,close
"[32, 52, -79]","[40, 65, -68]","[41, 38, -78]","[32, 52, -79]","[41, 38, -78]","[40, 65, -68]",0,none,close
"[62, 37, 64]","[51, 70, 60]","[53, 32, 38]","[53, 32, 38]","[51, 70, 60]","[62, 37, 64]",2,none,close
"[33, 72, -95]","[47, 68, -51]","[41, 48, -89]","[33, 72, -95]","[47, 68, -51]","[41, 48, -89]",0,none,close
"[37, 70, -81]","[34, 50, -73]","[41, 64, -64]","[37, 70, -81]","[41, 64, -64]","[34, 50, -73]",0,none,close
"[40, 59, -62]","[48, 67, -49]","[31, 59, -86]","[40, 59, -62]","[31, 59, -86]","[48, 67, -49]",0,none,close
"[74, -42, -3]","[81, -41, -14]","[81, -45, -7]","[81, -45, -7]","[74, -42, -3]","[81, -41, -14]",1,none,close
"[52, 90, -70]","[50, 74, -14]","[48, 65, -24]","[50, 74, -14]","[52, 90, -70]","[48, 65, -24]",1,none,close
"[72, -38, -6]","[76, -51, 9]","[68, -28, -18]","[72, -38, -6]","[68, -28, -18]","[76, -51, 9]",0,none,close
"[43, 36, -77]","[31, 66, -95]","[34, 62, -94]","[34, 62, -94]","[43, 36, -77]","[31, 66, -95]",1,none,close
"[33, 75, -100]","[40, 67, -71]","[36, 55, -71]","[33, 75, -100]","[36, 55, -71]","[40, 67, -71]",0,none,close
"[80, -34, -25]","[74, -22, -37]","[72, -35, -11]","[74, -22, -37]","[80, -34, -25]","[72, -35, -11]",1,none,close
"[57, 0, -50]","[54, 9, -59]","[49, 22, -70]","[57, 0, -50]","[54, 9, -59]","[49, 22, -70]",0,none,close
"[53, 69, 63]","[52, 79, 34]","[46, 58, 30]","[53, 69, 63]","[52, 79, 34]","[46, 58, 30]",0,none,close
