"[90, -28, 87]","[78, -74, 61]","[47, 68, 42]","[47, 68, 42]","[78, -74, 61]","[90, -28, 87]",2,none,far
"[89, -59, 85]","[55, 87, -23]","[49, 70, -8]","[55, 87, -23]","[89, -59, 85]","[49, 70, -8]",1,none,far
"[37, 73, -84]","[80, -76, 62]","[71, -54, 57]","[71, -54, 57]","[80, -76, 62]","[37, 73, -84]",2,none,far
"[40, 33, -71]","[80, -76, 75]","[50, 74, -19]","[80, -76, 75]","[50, 74, -19]","[40, 33, -71]",2,none,far
"[74, -65, 47]","[40, 30, -65]","[38, 79, -92]","[40, 30, -65]","[38, 79, -92]","[74, -65, 47]",2,none,far
"[47, 33, -80]","[86, -81, 67]","[71, -55, 58]","[86, -81, 67]","[47, 33, -80]","[71, -55, 58]",1,none,far
"[35, 78, -99]","[55, -3, -40]","[67, 10, 60]","[67, 10, 60]","[35, 78, -99]","[55, -3, -40]",1,none,far
"[58, 95, -59]","[33, 75, -100]","[66, -12, -44]","[58, 95, -59]","[66, -12, -44]","[33, 75, -100]",0,none,far
"[88, -52, 84]","[50, 76, 8]","[70, -39, 0]","[88, -52, 84]","[70, -39, 0]","[50, 76, 8]",0,none,far
"[42, 59, -58]","[51, 76, 39]","[92, -30, 89]","[92, -30, 89]","[51, 76, 39]","[42, 59, -58]",2,none,far
"[88, -57, 84]","[80, -43, -9]","[69, 4, 60]","[80, -43, -9]","[69, 4, 60]","[88, -57, 84]",2,none,far
"[38, 75, -86]","[80, -61, 74]","[75, -64, 39]","[75, -64, 39]","[80, -61, 74]","[38, 75, -86]",2,none,far
"[64, 32, 66]","[86, -60, 81]","[52, 78, 50]","[86, -60, 81]","[64, 32, 66]","[52, 78, 50]",1,none,far
"[64, -13, -39]","[83, -43, -12]","[54, 91, -67]","[64, -13, -39]","[83, -43, -12]","[54, 91, -67]",0,none,far
"[88, -62, 14]","[31, 67, -94]","[70, -46, 55]","[70, -46, 55]","[88, -62, 14]","[31, 67, -94]",1,none,far
