"[90, -28, 87]","[93, -15, 92]","[50, 75, 56]","[50, 75, 56]","[93, -15, 92]","[90, -28, 87]",2,none,split
"[89, -59, 85]","[81, -65, 30]","[52, 14, -63]","[89, -59, 85]","[81, -65, 30]","[52, 14, -63]",0,none,split
"[37, 73, -84]","[31, 63, -90]","[47, 62, -1]","[47, 62, -1]","[37, 73, -84]","[31, 63, -90]",1,none,split
"[40, 33, -71]","[45, 14, -50]","[53, 92, -72]","[53, 92, -72]","[45, 14, -50]","[40, 33, -71]",2,none,split
"[74, -65, 47]","[69, -44, 10]","[42, 40, -81]","[69, -44, 10]","[74, -65, 47]","[42, 40, -81]",1,none,split
"[47, 33, -80]","[56, 13, -67]","[64, 24, 62]","[56, 13, -67]","[64, 24, 62]","[47, 33, -80]",2,none,split
"[35, 78, -99]","[32, 52, -79]","[76, -43, -4]","[32, 52, -79]","[76, -43, -4]","[35, 78, -99]",2,none,split
"[58, 95, -59]","[48, 61, -29]","[39, 70, -78]","[39, 70, -78]","[48, 61, -29]","[58, 95, -59]",2,none,split
"[88, -52, 84]","[87, -84, 77]","[40, 75, -78]","[88, -52, 84]","[40, 75, -78]","[87, -84, 77]",0,none,split
"[42, 59, -58]","[31, 61, -88]","[67, 27, 69]","[67, 27, 69]","[31, 61, -88]","[42, 59, -58]",2,none,split
"[88, -57, 84]","[69, -58, 44]","[53, 85, -50]","[69, -58, 44]","[88, -57, 84]","[53, 85, -50]",1,none,split
"[38, 75, -86]","[38, 37, -73]","[76, -41, -7]","[38, 37, -73]","[38, 75, -86]","[76, -41, -7]",1,none,split
"[64, 32, 66]","[65, 44, 73]","[86, -41, 81]","[86, -41, 81]","[65, 44, 73]","[64, 32, 66]",2,none,split
"[64, -13, -39]","[68, -29, -14]","[34, 67, -85]","[68, -29, -14]","[64, -13, -39]","[34, 67, -85]",1,none,split
"[88, -62, 14]","[78, -75, 72]","[62, -4, -50]","[88, -62, 14]","[62, -4, -50]","[78, -75, 72]",0,none,split
"[40, 51, -59]","[35, 42, -72]","[49, 73, -5]","[49, 73, -5]","[40, 51, -59]","[35, 42, -72]",1,none,split
"[53, 79, 66]","[53, 45, 47]","[87, -44, -17]","[53, 45, 47]","[87, -44, -17]","[53, 79, 66]",2,none,split
"[48, 66, -19]","[50, 85, -65]","[67, 40, 74]","[67, 40, 74]","[50, 85, -65]","[48, 66, -19]",2,none,split
"[92, -32, 89]","[80, -57, 74]","[57, 10, -63]","[92, -32, 89]","[80, -57, 74]","[57, 10, -63]",0,none,split
"[70, -62, 54]","[85, -82, 73]","[57, 32, 49]","[57, 32, 49]","[70, -62, 54]","[85, -82, 73]",1,none,split
"[88, -61, 12]","[83, -79, 69]","[87, -9, 85]","[88, -61, 12]","[83, -79, 69]","[87, -9, 85]",0,none,split
"[46, 63, 39]","[47, 63, 6]","[34, 67, -85]","[46, 63, 39]","[34, 67, -85]","[47, 63, 6]",0,none,split
"[49, 67, -38]","[56, 94, -67]","[62, 0, -55]","[56, 94, -67]","[49, 67, -38]","[62, 0, -55]",1,none,split
