"[249, 50, 25]","[129, 50, 66]","[54, 50, 53]","[249, 50, 25]","[54, 50, 53]","[129, 50, 66]",0,purple,far
"[215, 50, 13]","[164, 50, 81]","[92, 50, 84]","[164, 50, 81]","[215, 50, 13]","[92, 50, 84]",1,gray,far
"[229, 50, 31]","[172, 50, 65]","[347, 50, 52]","[172, 50, 65]","[229, 50, 31]","[347, 50, 52]",1,purple,far
"[209, 50, 44]","[264, 50, 61]","[85, 50, 74]","[264, 50, 61]","[85, 50, 74]","[209, 50, 44]",2,blue,far
"[264, 50, 1]","[200, 50, 11]","[236, 50, 11]","[264, 50, 1]","[200, 50, 11]","[236, 50, 11]",0,brown,close
"[25, 50, 17]","[68, 50, 0]","[312, 50, 48]","[312, 50, 48]","[68, 50, 0]","[25, 50, 17]",2,brown,split
"[350, 50, 88]","[355, 50, 23]","[19, 50, 34]","[350, 50, 88]","[355, 50, 23]","[19, 50, 34]",0,red,close
"[14, 50, 70]","[21, 50, 34]","[302, 50, 57]","[14, 50, 70]","[302, 50, 57]","[21, 50, 34]",0,orange,split
"[336, 50, 6]","[90, 50, 55]","[166, 50, 67]","[166, 50, 67]","[90, 50, 55]","[336, 50, 6]",2,gray,far
"[6, 50, 92]","[289, 50, 48]","[125, 50, 26]","[6, 50, 92]","[125, 50, 26]","[289, 50, 48]",0,red,far
"[210, 50, 34]","[276, 50, 1]","[116, 50, 17]","[210, 50, 34]","[276, 50, 1]","[116, 50, 17]",0,blue,split
"[27, 50, 28]","[163, 50, 98]","[131, 50, 12]","[131, 50, 12]","[27, 50, 28]","[163, 50, 98]",1,brown,far
"[241, 50, 57]","[267, 50, 52]","[279, 50, 77]","[241, 50, 57]","[267, 50, 52]","[279, 50, 77]",0,blue,close
"[245, 50, 82]","[246, 50, 8]","[317, 50, 61]","[317, 50, 61]","[246, 50, 8]","[245, 50, 82]",2,blue,far
"[185, 50, 8]","[82, 50, 94]","[278, 50, 73]","[82, 50, 94]","[278, 50, 73]","[185, 50, 8]",2,gray,far
