condition,seed,epoch,color_name,drift
condition_a,111,30,mint,28.34
condition_a,111,30,olive,78.82
condition_a,111,30,dull,65.33
condition_a,111,30,teal,28.69
condition_a,111,30,yellow,5.07
condition_a,111,30,khaki,50.93
condition_a,111,30,lime,34.62
condition_a,111,30,blue,8.05
condition_a,111,30,sky,50.24
condition_a,111,30,aqua,25.06
condition_a,111,30,bright,72.40
condition_a,111,30,barney,23.11
condition_a,111,30,beige,70.30
condition_a,111,30,rose,52.51
condition_a,111,30,turquoise,16.50
condition_a,111,30,violet,62.47
condition_a,111,30,fuchsia,68.74
condition_a,111,30,cyan,68.00
condition_a,111,30,orange,17.60
condition_a,111,30,brown,34.42
condition_a,111,30,purple,8.62
condition_a,111,30,pumpkin,134.06
condition_a,111,30,grass,185.12
condition_a,111,30,gold,61.20
condition_a,111,30,green,21.19
condition_a,111,30,red,10.82
condition_a,111,30,caca,133.48
condition_a,111,30,mustard,14.59
condition_a,111,30,neon,48.49
condition_a,111,30,concrete,80.02
condition_a,111,30,seafoam,74.59
condition_a,111,30,gray,8.96
condition_a,111,30,magenta,75.83
condition_a,111,30,pink,16.08
condition_a,123,30,mint,49.00
condition_a,123,30,olive,92.70
condition_a,123,30,teal,12.34
condition_a,123,30,yellow,55.57
condition_a,123,30,tan,129.45
condition_a,123,30,peach,24.75
condition_a,123,30,lime,21.51
condition_a,123,30,blue,5.27
condition_a,123,30,sky,84.91
condition_a,123,30,aqua,75.42
condition_a,123,30,bright,53.26
condition_a,123,30,barney,29.95
condition_a,123,30,mauve,68.29
condition_a,123,30,cyan,30.05
condition_a,123,30,drab,34.91
condition_a,123,30,orange,17.79
condition_a,123,30,brown,47.79
condition_a,123,30,purple,5.84
condition_a,123,30,grass,166.92
condition_a,123,30,gold,45.90
condition_a,123,30,green,16.15
condition_a,123,30,salmon,78.44
condition_a,123,30,red,7.12
condition_a,123,30,caca,30.60
condition_a,123,30,lavander,50.62
condition_a,123,30,pink,10.05
condition_a,123,30,lavender,75.65
condition_a,123,30,concrete,79.44
condition_a,123,30,maroon,79.20
condition_a,123,30,gray,36.71
condition_a,123,30,grape,119.02
condition_a,222,30,grapes,70.41
condition_a,222,30,olive,93.90
condition_a,222,30,dull,76.71
condition_a,222,30,teal,22.91
condition_a,222,30,yellow,8.83
condition_a,222,30,khaki,34.53
condition_a,222,30,tan,44.73
condition_a,222,30,blue,9.33
condition_a,222,30,sky,21.18
condition_a,222,30,seagreen,113.28
condition_a,222,30,aqua,5.49
condition_a,222,30,violet,75.54
condition_a,222,30,beige,70.30
condition_a,222,30,rose,50.79
condition_a,222,30,mauve,56.83
condition_a,222,30,barney,169.02
condition_a,222,30,fuchsia,75.53
condition_a,222,30,cyan,64.48
condition_a,222,30,orange,13.08
condition_a,222,30,brown,26.84
condition_a,222,30,pumpkin,37.99
condition_a,222,30,purple,17.16
condition_a,222,30,grass,136.12
condition_a,222,30,green,5.02
condition_a,222,30,salmon,97.73
condition_a,222,30,red,6.48
condition_a,222,30,mustard,99.34
condition_a,222,30,lavander,91.56
condition_a,222,30,pink,17.39
condition_a,222,30,lavender,62.75
condition_a,222,30,seafoam,42.98
condition_a,222,30,maroon,60.00
condition_a,222,30,gray,33.09
condition_a,222,30,sage,85.92
condition_a,222,30,clay,64.29
condition_a,345,30,mint,44.85
condition_a,345,30,teal,19.40
condition_a,345,30,yellow,10.11
condition_a,345,30,khaki,121.21
condition_a,345,30,peach,83.58
condition_a,345,30,blue,8.59
condition_a,345,30,sky,110.08
condition_a,345,30,aqua,64.98
condition_a,345,30,bright,45.29
condition_a,345,30,violet,39.51
condition_a,345,30,beige,106.23
condition_a,345,30,rose,82.45
condition_a,345,30,mauve,46.86
condition_a,345,30,turquoise,49.40
condition_a,345,30,fuchsia,43.33
condition_a,345,30,cyan,50.70
condition_a,345,30,orange,30.00
condition_a,345,30,brown,12.67
condition_a,345,30,blood,30.48
condition_a,345,30,purple,28.94
condition_a,345,30,grass,143.90
condition_a,345,30,gold,109.05
condition_a,345,30,green,18.86
condition_a,345,30,red,3.07
condition_a,345,30,caca,53.80
condition_a,345,30,mustard,25.80
condition_a,345,30,lavander,77.41
condition_a,345,30,pink,11.39
condition_a,345,30,concrete,75.66
condition_a,345,30,maroon,64.40
condition_a,345,30,gray,17.42
condition_a,345,30,sage,132.43
condition_a,444,30,grapes,43.51
condition_a,444,30,mint,54.42
condition_a,444,30,teal,8.57
condition_a,444,30,yellow,18.84
condition_a,444,30,tan,38.31
condition_a,444,30,peach,85.88
condition_a,444,30,lime,13.69
condition_a,444,30,blue,14.65
condition_a,444,30,sky,84.48
condition_a,444,30,seagreen,39.87
condition_a,444,30,aqua,75.75
condition_a,444,30,bright,133.49
condition_a,444,30,violet,37.26
condition_a,444,30,beige,57.23
condition_a,444,30,mauve,83.26
condition_a,444,30,rose,90.32
condition_a,444,30,cyan,50.16
condition_a,444,30,orange,13.30
condition_a,444,30,brown,72.76
condition_a,444,30,blood,75.49
condition_a,444,30,purple,35.06
condition_a,444,30,grass,158.69
condition_a,444,30,gold,56.23
condition_a,444,30,green,17.29
condition_a,444,30,red,14.48
condition_a,444,30,lavander,88.39
condition_a,444,30,neon,65.57
condition_a,444,30,lavender,79.00
condition_a,444,30,concrete,57.06
condition_a,444,30,gray,32.94
condition_a,444,30,sage,69.54
condition_a,444,30,magenta,147.46
condition_a,444,30,pink,15.95
condition_a,444,30,clay,87.82
condition_a,555,30,grapes,168.84
condition_a,555,30,mint,160.33
condition_a,555,30,olive,63.13
condition_a,555,30,dull,98.64
condition_a,555,30,teal,12.97
condition_a,555,30,yellow,1.57
condition_a,555,30,tan,44.54
condition_a,555,30,blue,16.50
condition_a,555,30,sky,22.72
condition_a,555,30,seagreen,46.10
condition_a,555,30,aqua,10.82
condition_a,555,30,violet,25.69
condition_a,555,30,beige,43.26
condition_a,555,30,mauve,85.60
condition_a,555,30,turquoise,17.26
condition_a,555,30,fuchsia,87.42
condition_a,555,30,medium,114.82
condition_a,555,30,drab,73.44
condition_a,555,30,orange,9.55
condition_a,555,30,brown,65.22
condition_a,555,30,blood,12.42
condition_a,555,30,purple,25.58
condition_a,555,30,green,12.85
condition_a,555,30,salmon,78.50
condition_a,555,30,red,12.74
condition_a,555,30,caca,43.49
condition_a,555,30,pink,14.69
condition_a,555,30,neon,62.18
condition_a,555,30,gray,26.57
condition_a,555,30,grape,46.25
condition_a,555,30,clay,67.15
condition_a,567,30,mint,33.03
condition_a,567,30,dull,98.66
condition_a,567,30,teal,10.22
condition_a,567,30,yellow,6.94
condition_a,567,30,blue,3.68
condition_a,567,30,sky,87.17
condition_a,567,30,aqua,29.49
condition_a,567,30,bright,54.38
condition_a,567,30,barney,83.38
condition_a,567,30,beige,126.28
condition_a,567,30,violet,60.57
condition_a,567,30,turquoise,31.90
condition_a,567,30,cyan,104.10
condition_a,567,30,medium,101.58
condition_a,567,30,orange,12.20
condition_a,567,30,brown,12.17
condition_a,567,30,purple,22.29
condition_a,567,30,gold,75.10
condition_a,567,30,green,12.55
condition_a,567,30,salmon,54.73
condition_a,567,30,grape,65.60
condition_a,567,30,red,5.26
condition_a,567,30,mustard,59.56
condition_a,567,30,neon,53.34
condition_a,567,30,concrete,65.53
condition_a,567,30,gray,57.10
condition_a,567,30,sage,50.96
condition_a,567,30,magenta,73.66
condition_a,567,30,pink,12.49
condition_a,666,30,grapes,31.94
condition_a,666,30,olive,49.71
condition_a,666,30,dull,48.36
condition_a,666,30,teal,13.12
condition_a,666,30,yellow,5.85
condition_a,666,30,tan,31.16
condition_a,666,30,lime,14.97
condition_a,666,30,blue,8.19
condition_a,666,30,sky,26.31
condition_a,666,30,seagreen,23.28
condition_a,666,30,aqua,31.13
condition_a,666,30,bright,53.06
condition_a,666,30,violet,79.64
condition_a,666,30,barney,78.02
condition_a,666,30,mauve,63.05
condition_a,666,30,beige,32.09
condition_a,666,30,rose,38.23
condition_a,666,30,fuchsia,71.30
condition_a,666,30,medium,109.74
condition_a,666,30,drab,80.86
condition_a,666,30,orange,13.61
condition_a,666,30,brown,44.28
condition_a,666,30,blood,18.13
condition_a,666,30,purple,27.65
condition_a,666,30,grass,103.36
condition_a,666,30,gold,69.28
condition_a,666,30,green,13.15
condition_a,666,30,red,2.55
condition_a,666,30,mustard,17.13
condition_a,666,30,lavander,49.85
condition_a,666,30,pink,12.03
condition_a,666,30,seafoam,33.71
condition_a,666,30,maroon,83.41
condition_a,666,30,gray,18.22
condition_a,666,30,sage,43.76
condition_a,678,30,olive,75.43
condition_a,678,30,dull,66.42
condition_a,678,30,teal,28.62
condition_a,678,30,yellow,9.52
condition_a,678,30,khaki,36.17
condition_a,678,30,tan,30.94
condition_a,678,30,lime,64.81
condition_a,678,30,blue,15.33
condition_a,678,30,sky,54.04
condition_a,678,30,aqua,15.91
condition_a,678,30,bright,115.48
condition_a,678,30,barney,110.83
condition_a,678,30,violet,91.70
condition_a,678,30,rose,40.63
condition_a,678,30,turquoise,29.75
condition_a,678,30,cyan,69.95
condition_a,678,30,medium,122.61
condition_a,678,30,orange,21.31
condition_a,678,30,brown,26.49
condition_a,678,30,purple,29.59
condition_a,678,30,grass,10.27
condition_a,678,30,gold,38.02
condition_a,678,30,green,12.07
condition_a,678,30,salmon,116.86
condition_a,678,30,red,9.53
condition_a,678,30,lavander,62.18
condition_a,678,30,maroon,108.23
condition_a,678,30,gray,69.92
condition_a,678,30,magenta,95.15
condition_a,678,30,pink,20.50
condition_a,678,30,clay,45.75
condition_a,777,30,grapes,38.77
condition_a,777,30,olive,19.64
condition_a,777,30,dull,69.20
condition_a,777,30,teal,17.95
condition_a,777,30,yellow,5.67
condition_a,777,30,tan,66.46
condition_a,777,30,peach,52.00
condition_a,777,30,blue,22.01
condition_a,777,30,sky,72.26
condition_a,777,30,seagreen,5.10
condition_a,777,30,aqua,52.00
condition_a,777,30,bright,31.53
condition_a,777,30,violet,26.61
condition_a,777,30,barney,96.65
condition_a,777,30,mauve,88.57
condition_a,777,30,fuchsia,29.94
condition_a,777,30,medium,82.86
condition_a,777,30,orange,22.67
condition_a,777,30,brown,37.60
condition_a,777,30,blood,121.28
condition_a,777,30,purple,32.06
condition_a,777,30,gold,80.86
condition_a,777,30,green,7.14
condition_a,777,30,salmon,84.46
condition_a,777,30,red,5.51
condition_a,777,30,caca,131.29
condition_a,777,30,mustard,23.41
condition_a,777,30,lavander,90.32
condition_a,777,30,neon,53.04
condition_a,777,30,concrete,39.31
condition_a,777,30,gray,30.13
condition_a,777,30,pink,12.59
